Step,Acc,Loss
870,0.906,0.34
871,0.906,0.34
872,0.812,0.72
873,0.812,0.72
874,0.828,0.57
875,0.828,0.57
876,0.828,0.51
877,0.828,0.51
878,0.906,0.31
879,0.906,0.31
880,0.891,0.42
881,0.891,0.42
882,0.844,0.52
883,0.844,0.52
884,0.922,0.33
885,0.922,0.33
886,0.906,0.36
887,0.906,0.36
888,0.891,0.35
889,0.891,0.35
890,0.75,0.62
891,0.75,0.62
892,0.953,0.24
893,0.953,0.24
894,0.906,0.29
895,0.906,0.29
896,0.859,0.38
897,0.859,0.38
898,0.812,0.44
899,0.812,0.44
900,0.875,0.41
901,0.875,0.41
902,0.859,0.44
903,0.859,0.44
904,0.828,0.52
905,0.828,0.52
906,0.922,0.35
907,0.922,0.35
908,0.891,0.5
909,0.891,0.5
910,0.875,0.31
911,0.875,0.31
912,0.844,0.5
913,0.844,0.5
914,0.844,0.51
915,0.844,0.51
916,0.953,0.27
917,0.953,0.27
918,0.938,0.28
919,0.938,0.28
920,0.891,0.25
921,0.891,0.25
922,0.844,0.45
923,0.844,0.45
924,0.891,0.43
925,0.891,0.43
926,0.922,0.28
927,0.922,0.28
928,0.891,0.34
929,0.891,0.34
930,0.859,0.36
931,0.859,0.36
932,0.859,0.47
933,0.859,0.47
934,0.953,0.25
935,0.953,0.25
936,0.797,0.53
937,0.797,0.53
938,0.906,0.41
939,0.906,0.41
940,0.875,0.41
941,0.875,0.41
942,0.906,0.31
943,0.906,0.31
944,0.891,0.29
945,0.891,0.29
946,0.938,0.3
947,0.938,0.3
948,0.938,0.37
949,0.938,0.37
950,0.875,0.48
951,0.875,0.48
952,0.938,0.18
953,0.938,0.18
954,0.891,0.45
955,0.891,0.45
956,0.812,0.54
957,0.812,0.54
958,0.828,0.53
959,0.828,0.53
960,0.938,0.22
961,0.938,0.22
962,0.906,0.3
963,0.906,0.3
964,0.844,0.41
965,0.844,0.41
966,0.859,0.32
967,0.859,0.32
968,0.828,0.56
969,0.828,0.56
970,0.859,0.45
971,0.859,0.45
972,0.828,0.49
973,0.828,0.49
974,0.953,0.32
975,0.953,0.32
976,0.875,0.48
977,0.875,0.48
978,0.953,0.28
979,0.953,0.28
980,0.859,0.48
981,0.859,0.48
982,0.875,0.31
983,0.875,0.31
984,0.875,0.4
985,0.875,0.4
986,0.875,0.39
987,0.875,0.39
988,0.891,0.44
989,0.891,0.44
990,0.938,0.27
991,0.938,0.27
992,0.922,0.28
993,0.922,0.28
994,0.828,0.49
995,0.828,0.49
996,0.891,0.24
997,0.891,0.24
998,0.797,0.54
999,0.797,0.54
1000,0.859,0.38
1001,0.859,0.38
1002,0.922,0.32
1003,0.922,0.32
1004,0.922,0.23
1005,0.922,0.23
1006,0.922,0.36
1007,0.922,0.36
1008,0.906,0.39
1009,0.906,0.39
1010,0.828,0.41
1011,0.828,0.41
1012,0.859,0.45
1013,0.859,0.45
1014,0.906,0.29
1015,0.906,0.29
1016,0.922,0.29
1017,0.922,0.29
1018,0.875,0.44
1019,0.875,0.44
1020,0.891,0.35
1021,0.891,0.35
1022,0.906,0.29
1023,0.906,0.29
1024,0.891,0.34
1025,0.891,0.34
1026,0.922,0.31
1027,0.922,0.31
1028,0.859,0.38
1029,0.859,0.38
1030,0.906,0.25
1031,0.906,0.25
1032,0.875,0.32
1033,0.875,0.32
1034,0.922,0.37
1035,0.922,0.37
1036,0.906,0.32
1037,0.906,0.32
1038,0.875,0.48
1039,0.875,0.48
1040,0.875,0.34
1041,0.875,0.34
1042,0.844,0.41
1043,0.844,0.41
1044,0.891,0.37
1045,0.891,0.37
1046,0.859,0.3
1047,0.859,0.3
1048,0.828,0.47
1049,0.828,0.47
1050,0.938,0.27
1051,0.938,0.27
1052,0.938,0.33
1053,0.938,0.33
1054,0.891,0.3
1055,0.891,0.3
1056,0.828,0.39
1057,0.828,0.39
1058,0.906,0.35
1059,0.906,0.35
1060,0.938,0.23
1061,0.938,0.23
1062,0.875,0.42
1063,0.875,0.42
1064,0.953,0.22
1065,0.953,0.22
1066,0.953,0.2
1067,0.953,0.2
1068,0.906,0.35
1069,0.906,0.35
1070,0.906,0.34
1071,0.906,0.34
1072,0.891,0.34
1073,0.891,0.34
