Step,Acc,Loss
815,0.883,0.31
816,0.914,0.3
817,0.914,0.3
818,0.898,0.35
819,0.898,0.35
820,0.891,0.34
821,0.891,0.34
822,0.906,0.3
823,0.906,0.3
824,0.867,0.41
825,0.867,0.41
826,0.898,0.33
827,0.898,0.33
828,0.883,0.42
829,0.883,0.42
830,0.906,0.3
831,0.906,0.3
832,0.906,0.35
833,0.906,0.35
834,0.922,0.29
835,0.922,0.29
836,0.867,0.42
837,0.867,0.42
838,0.852,0.43
839,0.852,0.43
840,0.922,0.33
841,0.922,0.33
842,0.891,0.35
843,0.891,0.35
844,0.898,0.35
845,0.898,0.35
846,0.852,0.39
847,0.852,0.39
848,0.859,0.43
849,0.859,0.43
850,0.914,0.35
851,0.914,0.35
852,0.859,0.39
853,0.859,0.39
854,0.898,0.33
855,0.898,0.33
856,0.898,0.35
857,0.898,0.35
858,0.93,0.27
859,0.93,0.27
860,0.914,0.34
861,0.914,0.34
862,0.898,0.26
863,0.898,0.26
864,0.922,0.28
865,0.922,0.28
866,0.93,0.25
867,0.93,0.25
868,0.906,0.38
869,0.906,0.38
870,0.867,0.42
871,0.867,0.42
872,0.898,0.28
873,0.898,0.28
874,0.922,0.33
875,0.922,0.33
876,0.859,0.38
877,0.859,0.38
878,0.922,0.28
879,0.922,0.28
880,0.93,0.24
881,0.93,0.24
882,0.922,0.33
883,0.922,0.33
884,0.891,0.35
885,0.891,0.35
886,0.898,0.3
887,0.898,0.3
888,0.906,0.28
889,0.906,0.28
890,0.859,0.42
891,0.859,0.42
892,0.898,0.35
893,0.898,0.35
894,0.922,0.27
895,0.922,0.27
896,0.867,0.37
897,0.867,0.37
898,0.938,0.28
899,0.938,0.28
900,0.922,0.28
901,0.922,0.28
902,0.891,0.36
903,0.891,0.36
904,0.883,0.35
905,0.883,0.35
906,0.859,0.34
907,0.859,0.34
908,0.875,0.35
909,0.875,0.35
910,0.93,0.24
911,0.93,0.24
912,0.859,0.38
913,0.859,0.38
914,0.914,0.33
915,0.914,0.33
916,0.891,0.31
917,0.891,0.31
918,0.906,0.31
919,0.906,0.31
920,0.883,0.39
921,0.883,0.39
922,0.93,0.28
923,0.93,0.28
924,0.891,0.43
925,0.891,0.43
926,0.891,0.37
927,0.891,0.37
928,0.922,0.27
929,0.922,0.27
930,0.945,0.27
931,0.945,0.27
932,0.93,0.29
933,0.93,0.29
934,0.891,0.32
935,0.891,0.32
936,0.906,0.31
937,0.906,0.31
938,0.828,0.47
939,0.828,0.47
940,0.841,0.48
941,0.841,0.48
942,0.841,0.48
946,0.906,0.31
947,0.906,0.31
948,0.859,0.45
949,0.859,0.45
950,0.898,0.35
951,0.898,0.35
952,0.914,0.26
953,0.914,0.26
954,0.945,0.21
955,0.945,0.21
956,0.867,0.33
957,0.867,0.33
958,0.891,0.38
959,0.891,0.38
960,0.938,0.23
961,0.938,0.23
962,0.922,0.24
963,0.922,0.24
964,0.922,0.32
965,0.922,0.32
966,0.938,0.27
967,0.938,0.27
968,0.906,0.35
969,0.906,0.35
970,0.844,0.46
971,0.844,0.46
972,0.875,0.41
973,0.875,0.41
974,0.891,0.36
975,0.891,0.36
976,0.938,0.28
977,0.938,0.28
